Id;city;shopName;shopId;shopPower;mainRegionName;mainCategoryName;tasteScore;environmentScore;serviceScore;avgPrice;shopAddress;shopUrl;defaultPic;phoneNo
8969;上海;香港龙凤楼;122101156;45;陆家嘴;粤菜馆;87;89;85;203;浦东南路899号陆家嘴中心902单元;http://dp01.ds.quancube.cn/shop/122101156;https://img.meituan.net/msmerchant/47099b7e3848bf6de208c932e88dfac557137.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;57578717
8970;上海;Mr·Burp 宝嗝先生;98387306;45;人民广场;西餐;84;88;84;122;南京东路800号第一百货商业中心C馆5楼;http://dp01.ds.quancube.cn/shop/98387306;https://img.meituan.net/msmerchant/b2a2b54c389784960baaa27322e7120e352550.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63309516
8971;上海;汕头八合里海记牛肉店;108337337;45;中山公园;潮汕牛肉火锅;89;84;82;106;长宁路龙之梦购物中心8楼8059-8063铺面;http://dp01.ds.quancube.cn/shop/108337337;https://img.meituan.net/msmerchant/8651ccf82a613492a1b93d1844023dbc867632.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;62340866
8972;上海;香港百合居;23090317;45;天山;粤菜馆;90;89;86;163;遵义路150号;http://dp01.ds.quancube.cn/shop/23090317;https://qcloud.dpfile.com/pc/FhrhZufvkjLbtnOB9q-TPSXTpT80vuqWAgAB_tU5X9-eB7Z1NFolfygp1x5WK8JCpNCUjfxdq46d9547fdFMT7ySwTzJ2xmopuuSZkH1lSE.jpg;62730533
8973;上海;就是泰Just Thai泰式火锅;26232805;50;人民广场;泰式火锅;91;90;91;156;金陵东路569号汇都国际广场3楼;http://dp01.ds.quancube.cn/shop/26232805;https://img.meituan.net/msmerchant/4905baf4d7f51ff70bd8f5de498bb2ec94070.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;63332682
8974;上海;江南里;112190301;50;莘庄;苏浙菜;90;92;91;83;都市路5001号仲盛世界商城3层;http://dp01.ds.quancube.cn/shop/112190301;https://img.meituan.net/msmerchant/0ec0ce7b755c3c2af06dafa9418673c0130280.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;33361016
8975;上海;先楽町·高级日料放题;102104347;40;虹桥镇;日式自助;77;89;81;385;程家桥路175号1楼-2楼;http://dp01.ds.quancube.cn/shop/102104347;https://img.meituan.net/msmerchant/9d1512f1e19704e4ff68d35be99b851d142989.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;64651717
8976;上海;蟹家大院;76839581;50;外滩;大闸蟹;89;92;92;323;广东路59号;http://dp01.ds.quancube.cn/shop/76839581;https://p0.meituan.net/merchantpic/725b77dfa2bb46a816965f7134a400d6380377.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;69697777
8977;上海;鮨鲜きたじま日本料理;114849833;45;徐家汇;日本料理;90;91;91;246;肇嘉浜路1111号美罗城A区8层;http://dp01.ds.quancube.cn/shop/114849833;https://img.meituan.net/msmerchant/12395c47cf8a2175f584ecb3de033af5449265.jpg%40249w_249h_1e_1c_1l%7Cwatermark%3D0;64229912
8978;上海;胡桃里音乐酒馆;98644217;45;徐家汇;川菜家常菜;80;91;80;173;裕德路165号南洋1931首层;http://dp01.ds.quancube.cn/shop/98644217;https://img.meituan.net/msmerchant/a6adb31d8284dffbf477c835b84ba55a36523.png%40249w_249h_1e_1c_1l%7Cwatermark%3D0%7Cformat%3Djpeg;60298101
