Id,city,shopName,shopId,shopPower,mainRegionName,mainCategoryName,tasteScore,environmentScore,serviceScore,avgPrice,shopAddress
11030,保定,西北味道,26947810,45,电谷,西北菜,87,88,87,106,创业路122号
11031,保定,漕河全驴宴饭店,5236406,45,徐水区其他,其他中餐,88,86,86,40,京港澳高速出口国良汽车修理厂旁
11032,保定,阡陌咖啡,103004360,45,保百购物广场,咖啡厅,87,87,87,42,风帆路25号
11033,保定,川江印象酸菜鱼火锅,112146252,45,竞秀区,鱼火锅,88,88,89,58,竞秀区天威中路1595号
11034,保定,时尚客牛排,21302464,45,古莲花池,西餐,86,87,86,67,裕华路与莲池南大街交叉口北行120米路东
11035,保定,幸福鸟烘焙坊,98899590,45,军校广场,面包烘焙,87,87,87,18,军校街东方家园西门北50米
11036,保定,豪食国际美食自助,8319100,45,保百购物广场,自助餐,84,86,87,54,朝阳北大街1022号
11037,保定,宽味儿餐厅,71004932,45,保定学院,西北菜,86,86,85,53,百楼乡七一东路未来像素1单元
11038,保定,韩江亭韩国料理,13924800,45,后屯,韩国料理,87,87,88,59,天威西路289号中诚商务中心底商
11039,保定,盛客火锅鸡,69538769,45,双塔,炭火锅,86,86,86,54,华阳西路一中南门红绿灯惠友16店东行100米
11040,保定,王村姑老土炕,50553979,45,阜平县其他,西北菜,86,86,86,49,桥西街与北街交叉口北行20米路东
11041,保定,精工西饼屋,19709016,45,莲池区,面包/饮品,86,86,86,18,五四路街道七一东路184号
11043,保定,杜家小馆,17199595,45,市总工会,创意菜,85,85,85,43,向阳北大街820号
11044,保定,壹捞百味蘸料火锅,10586317,45,竞秀区,火锅,86,86,85,109,阳光北大街915号、917号一、二层门脸
11045,保定,DQ冰淇淋,65842672,45,竞秀公园,冰淇淋,85,85,85,23,朝阳北大街99号万博广场一层
11046,保定,陈阿婆重庆火锅,21973111,45,茂业百货,重庆火锅,85,89,89,60,朝阳大街与东风路交叉口东南角茂业百货7楼
11048,保定,提拉米苏高端私享蛋糕,77351337,45,西关,面包烘焙,84,85,84,85,永华南大街338号
11049,保定,步步高,10586757,45,范阳西路,面包/饮品,86,87,85,22,甲秀路工商银行北侧
11050,保定,好利莱西饼屋,22581203,45,容城县中心城区,面包/饮品,86,86,86,9,商贸城金台东路136号十字街路北
11051,保定,麦力发,7379827,45,高碑店市中心城区,面包/饮品,85,85,85,61,东大街南侧
11052,保定,风波莊酒家,111940528,45,竞秀公园,其他美食,84,85,84,42,竞秀区朝阳北大街99号万博六楼
11053,保定,訸记潮牛,77228423,45,清凉寺,潮汕牛肉火锅,84,85,84,105,范阳中路广场东南角世家财富酒店一层
11054,保定,星巴克,15923642,45,竞秀公园,咖啡厅,83,82,82,40,朝阳北大街99号万博广场底商
11055,保定,鱼酷活力烤鱼,21350429,45,茂业百货,烤鱼,86,86,83,87,朝阳南大街与东风路交口茂业百货7楼707铺位
11056,保定,汉堡王,23009540,45,人民广场,快餐简餐,84,84,84,42,朝阳南大街1号茂业百货一层
11057,保定,雅米客,8902830,45,徐水县中心城区,西餐,85,86,85,17,永兴西路19号商业城南门金浪屿一楼
11058,蚌埠,食樱日式创意料理,99137437,45,万达广场,日本料理,85,85,85,84,通达路鹏欣水游城尚街144号
11059,蚌埠,海底捞火锅,102977372,50,银泰城,火锅,91,91,91,109,东海大道4000号银泰城5楼
11060,蚌埠,九田家黑牛烤肉,110806289,40,银泰城,韩式烤肉,78,78,77,103,东海大道与延安南路交叉口银泰城4楼
11061,蚌埠,阿财老铺土菜香,5993375,45,淮河城市广场,小龙虾,89,87,84,55,华夏嘉里中心B3号楼101室
